protocol,chunk_k,chunk_n,fragment_k,fragment_n,op,latency
entropy,8,10,32,80,put,63.924267
entropy,8,10,32,80,get,13.816048
entropy,8,10,32,80,put,61.07056
entropy,8,10,32,80,get,14.111541
entropy,8,10,32,80,put,56.34633
entropy,8,10,32,80,get,14.022621
entropy,8,10,32,80,put,63.541653
entropy,8,10,32,80,get,13.766418
entropy,8,10,32,80,put,59.290474
entropy,8,10,32,80,get,13.840666
entropy,8,10,32,80,put,64.35001
entropy,8,10,32,80,get,14.187863
entropy,8,10,32,80,put,67.83162
entropy,8,10,32,80,get,13.921155
entropy,8,10,32,80,put,67.37046
entropy,8,10,32,80,get,14.823833
entropy,8,10,32,80,put,65.82668
entropy,8,10,32,80,get,14.10931
entropy,8,10,32,80,put,63.667442
entropy,8,10,32,80,get,14.353115
