protocol,chunk_k,chunk_n,fragment_k,fragment_n,op,latency
entropy,8,10,48,120,put,74.2083
entropy,8,10,48,120,get,14.202326
entropy,8,10,48,120,put,77.35745
entropy,8,10,48,120,get,13.50659
entropy,8,10,48,120,put,74.51378
entropy,8,10,48,120,get,13.524583
entropy,8,10,48,120,put,101.71414
entropy,8,10,48,120,get,13.4983225
entropy,8,10,48,120,put,82.18952
entropy,8,10,48,120,get,14.034015
entropy,8,10,48,120,put,82.05119
entropy,8,10,48,120,get,14.186095
entropy,8,10,48,120,put,83.180275
entropy,8,10,48,120,get,13.798021
entropy,8,10,48,120,put,84.691086
entropy,8,10,48,120,get,34.972565
