protocol,chunk_k,chunk_n,fragment_k,fragment_n,op,latency
entropy,8,10,48,120,put,84.43464
entropy,8,10,48,120,slow_get,75.33603
entropy,8,10,48,120,put,93.47989
entropy,8,10,48,120,slow_get,68.85464
entropy,8,10,48,120,put,94.24338
entropy,8,10,48,120,slow_get,77.347946
entropy,8,10,48,120,put,92.77954
entropy,8,10,48,120,slow_get,73.16479
entropy,8,10,48,120,put,94.62761
entropy,8,10,48,120,slow_get,79.17056
entropy,8,10,48,120,put,89.443
entropy,8,10,48,120,slow_get,77.36787
entropy,8,10,48,120,put,92.11785
entropy,8,10,48,120,slow_get,78.051155
