protocol,chunk_k,chunk_n,fragment_k,fragment_n,op,latency
kademlia,12,15,32,80,put,48.603245
kademlia,12,15,32,80,get,7.052086
kademlia,12,15,32,80,put,48.51385
kademlia,12,15,32,80,get,5.8728514
kademlia,12,15,32,80,put,49.368694
kademlia,12,15,32,80,get,6.8658724
kademlia,12,15,32,80,put,48.567696
kademlia,12,15,32,80,get,7.1592603
kademlia,12,15,32,80,put,47.49298
kademlia,12,15,32,80,get,6.48734
kademlia,12,15,32,80,put,49.22833
kademlia,12,15,32,80,get,5.753067
kademlia,12,15,32,80,put,48.438053
kademlia,12,15,32,80,get,5.950505
kademlia,12,15,32,80,put,47.312515
kademlia,12,15,32,80,get,6.095449
kademlia,12,15,32,80,put,48.867085
kademlia,12,15,32,80,get,5.8823733
kademlia,12,15,32,80,put,53.07119
kademlia,12,15,32,80,get,6.591234
