protocol,chunk_k,chunk_n,fragment_k,fragment_n,op,latency
entropy,8,10,32,80,put,58.517857
entropy,8,10,32,80,slow_get,51.59741
entropy,8,10,32,80,put,65.82738
entropy,8,10,32,80,slow_get,54.578552
entropy,8,10,32,80,put,63.95325
entropy,8,10,32,80,slow_get,52.18235
entropy,8,10,32,80,put,63.41592
entropy,8,10,32,80,slow_get,56.498222
entropy,8,10,32,80,put,64.88671
entropy,8,10,32,80,slow_get,59.93521
entropy,8,10,32,80,put,64.042366
entropy,8,10,32,80,slow_get,59.13083
entropy,8,10,32,80,put,67.36649
entropy,8,10,32,80,slow_get,56.719467
entropy,8,10,32,80,put,63.575138
entropy,8,10,32,80,slow_get,57.14056
entropy,8,10,32,80,put,61.06354
entropy,8,10,32,80,slow_get,56.815556
entropy,8,10,32,80,put,66.48269
entropy,8,10,32,80,slow_get,57.144825
