protocol,chunk_k,chunk_n,fragment_k,fragment_n,op,latency
entropy,4,5,32,80,put,42.03137
entropy,4,5,32,80,get,15.601237
entropy,4,5,32,80,put,40.79987
entropy,4,5,32,80,get,15.422587
entropy,4,5,32,80,put,42.347313
entropy,4,5,32,80,get,15.63004
entropy,4,5,32,80,put,41.82865
entropy,4,5,32,80,get,15.912733
entropy,4,5,32,80,put,39.641495
entropy,4,5,32,80,get,14.527269
entropy,4,5,32,80,put,45.2553
entropy,4,5,32,80,get,15.419413
entropy,4,5,32,80,put,42.650814
entropy,4,5,32,80,get,15.359043
entropy,4,5,32,80,put,43.442307
entropy,4,5,32,80,get,15.862089
entropy,4,5,32,80,put,43.00145
entropy,4,5,32,80,get,15.871741
entropy,4,5,32,80,put,41.011635
entropy,4,5,32,80,get,15.550266
