protocol,chunk_k,chunk_n,fragment_k,fragment_n,op,latency
kademlia,8,10,32,80,put,40.432358
kademlia,8,10,32,80,get,6.888801
kademlia,8,10,32,80,put,37.764217
kademlia,8,10,32,80,get,5.3171425
kademlia,8,10,32,80,put,40.311287
kademlia,8,10,32,80,get,6.1395893
kademlia,8,10,32,80,put,37.508617
kademlia,8,10,32,80,get,6.6567
kademlia,8,10,32,80,put,41.599297
kademlia,8,10,32,80,get,5.678442
kademlia,8,10,32,80,put,41.209198
kademlia,8,10,32,80,get,5.7384024
kademlia,8,10,32,80,put,40.17429
kademlia,8,10,32,80,get,7.6663194
kademlia,8,10,32,80,put,43.52018
kademlia,8,10,32,80,get,8.637031
kademlia,8,10,32,80,put,38.665356
kademlia,8,10,32,80,get,5.4491377
kademlia,8,10,32,80,put,44.53626
kademlia,8,10,32,80,get,5.5626845
