protocol,chunk_k,chunk_n,fragment_k,fragment_n,op,latency
entropy,12,15,32,80,put,80.34248
entropy,12,15,32,80,slow_get,72.21681
entropy,12,15,32,80,put,77.70702
entropy,12,15,32,80,slow_get,67.216446
entropy,12,15,32,80,put,82.97515
entropy,12,15,32,80,slow_get,73.02392
entropy,12,15,32,80,put,86.194695
entropy,12,15,32,80,slow_get,71.36702
entropy,12,15,32,80,put,78.849236
entropy,12,15,32,80,slow_get,72.40313
entropy,12,15,32,80,put,86.485756
entropy,12,15,32,80,slow_get,74.973335
entropy,12,15,32,80,put,86.51228
entropy,12,15,32,80,slow_get,69.61798
entropy,12,15,32,80,put,87.28438
entropy,12,15,32,80,slow_get,73.90664
