protocol,chunk_k,chunk_n,fragment_k,fragment_n,op,latency
entropy,4,5,32,80,put,44.13095
entropy,4,5,32,80,slow_get,37.992184
entropy,4,5,32,80,put,40.097553
entropy,4,5,32,80,slow_get,38.832005
entropy,4,5,32,80,put,41.26019
entropy,4,5,32,80,slow_get,36.649315
entropy,4,5,32,80,put,43.106976
entropy,4,5,32,80,slow_get,41.698032
entropy,4,5,32,80,put,41.430294
entropy,4,5,32,80,slow_get,39.24112
entropy,4,5,32,80,put,43.946796
entropy,4,5,32,80,slow_get,36.979916
entropy,4,5,32,80,put,40.768456
entropy,4,5,32,80,slow_get,37.42172
entropy,4,5,32,80,put,43.96757
entropy,4,5,32,80,slow_get,39.32517
entropy,4,5,32,80,put,43.08173
entropy,4,5,32,80,slow_get,35.92635
entropy,4,5,32,80,put,44.92431
entropy,4,5,32,80,slow_get,40.587833
